title,info,area,year,room,elevator,parking,warehouse,deposit,rent,status,for,use-case,floor,description,advertiser,balcony,area2
۲۲۰ متر ، ائل گلی ، فردوس,۳ روز پیش در تبریز | اجاره آپارتمان,۲۲۰,۱۳۹۵,۳,آسانسور,پارکینگ,انباری,۳۰۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,,۱,"خیالت راحت

آذرمِــلــک
بانک اطلاعات ملکی تـبـریـز
____________________________
 { تاپ لوکیشن منطقه ائل گلی }
 { منطقه اعیان نشین }
 { امکان دسترسی آسان با ویو بی نظیر }

• جهت واحد : جنوبی

• ۲۲۰ متر ، ۳ خواب بزرگ

• نورگیری عالی از هر جهت ( غرق در نور )

• کف پارکت لمینت

• آشپزخانه جزیره ، ممبران

• دارای تاسیسات گرمایشی ، سرمایشی

• دارای آسانسور ، پارکینگ اختصاصی ، انباری

• دارای سرویس ایرانی ، فرنگی

• دارای کاغذ دیواری و تراس قابل چیدمان

 • واحدی بسیار شیک برای خاص پسندان •

____________________________
✔️ واحد توسط آذرملک کارشناسی شده
اطلاعات و عکس‌ها مربوط به واحد میباشد
____________________________

مشـاور شمـا : مهندس فیاضی

 ۰۹۱۴۵۰۱۸۱۵۱
____________________________

خرید و فروش | رهن و اجاره | مشارکت

آدرس: ولیعصـر، فلکه‌مخابـرات به‌طرف اوحـدی",,,آذرمِلک
100متر آپارتمان تک واحدی 17شهریور,۳ روز پیش در تبریز | اجاره خانه و ویلا,۱۰۰,۱۳۹۶,۲,,پارکینگ,انباری,۲۸۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,,,"❎رهن کامل یک واحد آپارتمان طبقه دوم واقع در 17شهریورجدید(حاج جبارنائب) 

متراژ 100متر/طبقه دوم/کلا 4طبقه هر طبقه 1واحد/دارای پارکینگ/آسانسور/دوخوابه/کف سرامیک/گرمایش پکیج و رادیات/کابینت و کمد دیواری تکمیل/تخلیه تا 10روز 
==========================================
➕لطفا برای بازدید حضوری به دفتر مراجعه فرمایید...ممنون 

⏪آدرس دفتر:خیابان طالقانی شمالی،بالاتر از مصلی ،تقاطع ارک جدید وطالقانی،املاک مولائی


تلفن تماس: 
 041-35571121 دفتر 
 09146297823 مولایی",بالکن ندارد,۱۰۰,
آپارتمان 40متری در شهید جدیری برای دانشجو یامجرد,۳ روز پیش در تبریز | اجاره آپارتمان,۴۰,۱۳۹۵,۲,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۱۵۵٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده و مجرد,شخصی,همکف,آپارتمان 40متری برای دانشجو یا مجرد دونفر داده میشود09920828918,,,
رهن اجاره،آپارتمان،140متر،ائل گلی,۳ روز پیش در تبریز | اجاره آپارتمان,۱۴۰,۱۳۹۳,۲,آسانسور,پارکینگ,انباری,۲۰۰٬۰۰۰٬۰۰۰ تومان,۷٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده و مجرد,,۱,"⚜️آذرملک⚜️
✔️خیالت راحت✔️

________________________

موقعیت :ائل گلی فلکه گلشهر
{یکی از ابربرج های منطقه}

=140متر
=2خواب 
=طبقه 1

=کف پارکت 
=نورپردازی هالوژنبندی
=کمددیواری کابینت لوکس

=مشاعات:دارای پارکینگ انباری
=تاسیسات:اسپلیت ، پکیج
=واحد مناسب هرنوع دیزاین و چیدمان

برای اطلاعات بیشتر تماس بگیرید
کارشناس شما: مهندس تمکینی

____________________________
⚜️آذرملک⚜️
24ساعته به خواستت برس",,,آذرمِلک
92متر شخصی ساز شهر سهند فاز2 نگین,۳ روز پیش در تبریز | اجاره آپارتمان,۹۲,۱۳۹۶,۲,آسانسور,پارکینگ,انباری,۱۲۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,,۳,"واگذاری اپارتمان شخصی ساز جهت رهن کامل 

فاز دو علوی سوم 

فول امکانات / اماده تحویل 

❌❌ در هیچ شرایطی به اقا یا خانم مجرد واگذار نمیگردد❌❌

برای اطلاعات بیشتر تماس بگیرید.",,,مشاورین املاک بزرگمهر سهند
رسالت/ جلالیه 124 متر 2 خواب با پارکینگ,۳ روز پیش در تبریز | اجاره آپارتمان,۱۲۴,۱۳۸۳,۲,آسانسور ندارد,پارکینگ,انباری,۲۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,,۳,"⭐BANK AMLAK VAHID⭐

⭐املاک وحید هیچ شعبه ی دیگری ندارد⭐

⚜️بانک املاک وحید مدرن‌ترین املاک منطقه⚜️

بهترین ملک های نقلی منطقه را از ما بخواهید.

کد ملک : 3690
⚜️ آپارتمان آخر جلالیه/ مجتمع مسکونی گلدیس
⭕ سکونت موجر دارد⭕
⭕ تاریخ تحویل اوایل تیر ماه⭕
⚜️امکانات
✔پارکینگ✔کف پارکت✔کابینت ام دی اف✔گرمایش بخاری✔کمد دیواری✔آیفون تصویری✔گذر بر خیابان 

⚜️ طبقه 4 / کل ساختمان 3 طبقه 3 واحدی
نما سه سانت
لطفا جهت رویت ملک مورد نظر با بانک املاک وحید هماهنگ شوید:
09937239387
♤توجه توجه♤
جهت سهولت در ارائه خدمات به شما عزیزان با نوشتن (بانک املاک وحید) در دیوار تمامی فایل های خرید و فروش ؛ رهن و اجاره در اختیارتان قرار خواهد گرفت.

✔پکیجی متنوع از فایلینگهای متناسب منطقه مشابه بودجه شما
از مشاوره تا خرید ملکتان همراهتان هستیم

✔آدرس املاک وحید: خیابان رسالت ایستگاه بهشتی بانک املاک وحید
مشاور شما: خانم مهاجری",,,بانک املاک وحید
آپارتمان,۳ روز پیش در تبریز | اجاره آپارتمان,۱۰۰,۱۳۹۵,۲,آسانسور,پارکینگ ندارد,انباری,۸۰٬۰۰۰٬۰۰۰ تومان,۴٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,۲,"برق،آب،گاز،تلفن جداگانه،رنگ شده،انباری،کمد،کابینت،پرده عمودی،جاکفشی،موکت
آخرحافظ کمربندمیانی",,,
رهن کامل ۳۲۰ متر در ولیعصر جنوبی,۳ روز پیش در تبریز | اجاره آپارتمان,۳۲۰,۱۴۰۰,۳,آسانسور,پارکینگ,انباری,۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,مشاور املاک,۶,"به نام یگانه خالق هستی بخش 

✍ رهن کامل ۳۲۰ متر (۲۶۰ مفید +۶۰ متر حیاط)
✍پنت هاوس در ولیعصر جنوبی
✔ طبقه ۶
✔ جنوبی
✔ صفر کلید نخورده
✔ ۳ خواب(۲ خوابش دارای مستر)
✔ فول نصبیات
✔نما رومی نور پردازی شده
✅✅ تحویل ۲۰ روز پس از عقد قرارداد
✔ محله ی دنج همراه با دسترسی فوق العاده
________________________________________
 ♀️♀️ املاک ولیعصر ♀️♀️


↩ آدرس املاک : ولیعصر جنوبی خیابان امیر کبیر

↔️ پاسخگوی تماس شما : طهماسبی
0914 458 3303 

__________________________________________
 (( اگر مالک هستید و قصد فروش یا اجاره ملک خود را دارید ؛ صمیمانه منتظر تماس شما جهت ثبت سفارش شما هستیم))",,,
اجاره اپارتمان ۳طبقه ۲۷۰متری باغمیشه الهیه فرشته,۳ روز پیش در تبریز | اجاره آپارتمان,۲۷۰,۱۳۸۵,+۴,آسانسور ندارد,پارکینگ,انباری,۱۵۰٬۰۰۰٬۰۰۰ تومان,۱۲٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,,۱ از ۳,"به نام یگانه معمار هستی 
باسلام 

 مشاورین املاک مارین اماده خدمت رسانی در زمینه املاک به شما همشهریان عزیز میباشد

 مشاورین املاک مارین مدرنترین املاک منطقه

کد:۳۱۰
 

توضیحات:کل ساختمان سه طبقه کامل در اختیارواقع درباغمیشه بادوطبقه ۹۵متری و۱طبقه ۷۵متری مناسب و به صرفه برای خانواده های پرجمعیت با امتیازات کامل اماده بازدید وتحویل میباشد
 

هدف ما جلب رضایت شما در امور ملکی است 

باتشکراز اعتماد و حسن توجهتان 
مشاور امور ملکی شما  :عبدی",,,بازرگانی مارین
آپارتمان ۱۰۰ متر در دارایی ۳,۳ روز پیش در تبریز | اجاره آپارتمان,۱۰۰,۱۳۹۰,۲,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۲۳۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,شخصی,۲ از ۴,یک واحد آپارتمان خانوادگی شخصی ساز به متراژ ۱۰۰ متر در طبقه ۲ کف موکت ۲ خوابه کاغذدیواری با روشنایی عالی در دارایی ۳ به رهن کامل داده می شود.تخفیف پای معامله تماس با شماره۰۹۳۹۱۷۴۵۵۳۵,,,
آپارتمان ۸۵ متر در برج کسری,۳ روز پیش در تبریز | اجاره آپارتمان,۸۵,۱۴۰۰,۲,آسانسور,پارکینگ,انباری ندارد,۲۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده و مجرد,,۱ از ۱۱,"رهن و اجاره واحد در برج کسری ۲
واحد صفر کلید نخورده
طبقه اول
دارای پارکینگ و نگهبانی ۲۴ ساعته و محوطه دارای دوربین مداربسته 
محیطی آرام و دلنشین با ویو به پارک ایل گلی
..........املاک آلاچیق..............
۰۹۱۴۷۸۶۳۷۹۵ بابایی",,,آلاچیق
آپارتمان مورد رهنی در باغمیشه بر خیابان امیر کبیر,۳ روز پیش در تبریز | اجاره آپارتمان,۱۱۰,۱۳۹۳,۲,آسانسور,پارکینگ,انباری ندارد,۲۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,شخصی,۵ از ۵,"آپارتمان مورد رهنی دوکله 
دوخوابه وآماده تحویل میباشد",,,
رهن واجاره آپارتمان 124 م خ عارف ششگلان,۳ روز پیش در تبریز | اجاره آپارتمان,۱۲۴,۱۳۹۵,۳,آسانسور,پارکینگ,انباری,۴۵۰٬۰۰۰٬۰۰۰ تومان,۱٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,۳ از ۵,آپارتمان لوکس خ عارف کوی توکلی ساختمان برتر دارای قسمت ورزشی لطفا بااین شماره تماس بگیرین 09143111023,,,
رهن اجاره آپارتمان،120متر،ولیعصرجنوبی,۳ روز پیش در تبریز | اجاره آپارتمان,۱۲۰,۱۳۹۳,۲,آسانسور,پارکینگ,انباری,۴۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,مشاور املاک,۵,"خیالت راحت

آذرمِــلــک
بانک اطلاعات ملکی تـبـریـز
____________________________

•تاپ لوکیشن ولیعصر
•120متر
•2خواب
•طبقه5

•کف پارکت 
•دارای کمد دیواری،کابینت هایگلس
•دارای سیستم نور پردازی هوشمند
•پنجره ها دوجداره،دارای کولرگازی،شومینه
•واحد بسیار تمیز
•تمامی متریال به برند
•دریایی از نور و نقشه 
•درمیحیطی دنج و آرام

____________________________
✔️ واحد توسط آذرملک کارشناسی شده
اطلاعات و عکس‌ها مربوط به واحد میباشد
____________________________
مشـاور شمـا: مهندس صدقی
09916932214
____________________________

خرید و فروش | رهن و اجاره | مشارکت

آدرس دقیق دفتر: ولیعصـر، فلکه‌مخابـرات به‌طرف اوحـدی",,,
زیرزمین ملک شخصی به متراژ۴۵متر واقع درمنطقه رسالت,۳ روز پیش در تبریز، آزادراه کمربندی تبریز (آزادراه کسایی) | اجاره خانه و ویلا,۴۵,۱۳۹۰,۱,,پارکینگ ندارد,انباری ندارد,۲۰٬۰۰۰٬۰۰۰ تومان,توافقی,غیر قابل تبدیل,خانواده و مجرد,شخصی,,"یک واحد زیرزمین که دارای یک اتاق و یک آشپزخانه و حمام دستشویی می‌باشد.
مسیر رفت و آمد مشترک می‌باشد.
کلا سرامیک حتی دیوارها.
مناسب برای مجرد 
به آقایان مجرد تحت هیچ عنوان اجازه داده نمیشود.
زمان تخلیه پنجم تیرماه",بالکن ندارد,۲۰۰,
آپارتمان شمالی ولیعصر,۳ روز پیش در تبریز، خیابان پروین اعتصامی شمالی | اجاره آپارتمان,۱۳۰,۱۴۰۰,۲,آسانسور,پارکینگ,انباری ندارد,۱۵۰٬۰۰۰٬۰۰۰ تومان,۸٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,مشاور املاک,۱ از ۵,طبقه اول واحد صفر به اجاره واگذار میشود در لیدای جدید می‌باشد..,,,
رهن واجاره اپارتمان تازه ساخت باغمیشه الهیه فرشته,۳ روز پیش در تبریز | اجاره آپارتمان,۱۱۰,۱۴۰۰,۲,آسانسور,پارکینگ,انباری,۳۲۵٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده و مجرد,,۱ از ۵,"به نام یگانه معمار هستی
باسلام 

 مشاورین املاک مارین اماده خدمت رسانی در زمینه املاک به شما همشهریان عزیز میباشد

 مشاورین املاک مارین مدرنترین املاک منطقه

کد ملک: ۳۰۹

امکانات :✔اسانسور✔پارکینگ✔ کف سرامیک ۲خوابه✔ بالکن✔ انشعبات مجزا✔ سه نبش غرق درنورگیری✔ لوکیشن منطقه ✔آماده تحویل 

توضیحات:واحد فوقد واقع در باغمیشه . واحد تازه ساخت با امکانات کامل و شخصی سازبا محله دنج وهمسایگان بافرهنگ اماده تحویل میباشد 

هدف ما جلب رضایت شما در امور ملکی است 

باتشکراز اعتماد و حسن توجهتان 
مشاور امور ملکی شما  :عبدی",,,بازرگانی مارین
برج زمرد آخرشهناز,۳ روز پیش در تبریز | اجاره آپارتمان,۸۰,۱۳۸۹,۲,آسانسور,پارکینگ,انباری ندارد,۲۶۵٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,شخصی,۱۲ از ۱۵,"طبقه 12 رو به خیابان و شهر با ویو ابدی
قیمت درج شده نهایی هست
واحدخالی هست و آماده تحویل",,,
آپارتمان،90متر،مرزداران,۳ روز پیش در تبریز | اجاره آپارتمان,۹۰,۱۴۰۰,۲,آسانسور ندارد,پارکینگ,انباری ندارد,۲۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,مشاور املاک,۳ از ۴,"طبقه سوم 
بدون آسانسور 
فقط تمام رهن 
مشاورین املاک راد
مرزداران مصلی ترنم اول
09143115344",,,
۲۳۰متر، ولیعصر/ استانداری,۳ روز پیش در تبریز، خیابان استانداری (خ. شهید عطایی شمالی) | اجاره آپارتمان,۲۳۰,۱۳۹۸,۳,آسانسور,پارکینگ,انباری,۵۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده و مجرد,,۲,".آذرمِلک
بانک اطلاعات ملکی تـبـریـز
——————————————
 { لوکیشن دنج منطقه }
 { دسترسی آسان به مراکز خرید }

• ۲۳۰متر _ ۳خواب

• شخصی ساز _ تک‌واحدی و آرام

• جهت واحد: جنوبی

• کف سرامیک 1×1

• طبقات بالا: نورگیری عالی 

• کمد و کابینت هایگلس

• دکوراسیون داخلی لوکس 

• ویو ابدی ( دلباز )

• خوش نقشه ( بدون پرتی )

• آسانسور _ پارکینگ _ انباری
——————————————
 { فرصت محدود است }
جهت اطلاعات بیشتر و هماهنگی بازدید با ما در تماس باشید.
——————————————
مشاور شما در امور مِلکی: مهندس پورآقا
۰۹۱۴ ۲۷۹ ۲۴۱۸",,,آذرمِلک
آپارتمان ۱۲۰ متری در خیابان قدس قره آغاج,۳ روز پیش در تبریز | اجاره آپارتمان,۱۲۰,۱۳۹۵,۲,آسانسور,پارکینگ,انباری ندارد,۲۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده و مجرد,مشاور املاک,۱ از ۴,"آدرس .... خیابان قدس قره آغاج... خیابان میلانی...

دارای امکانات ..... آیفون تصویری.... پارکینگ......
آسانسور..... کمد و کابینت ...... کف سرامیک .....
بالکن..... گرمایش پکیج و رادیاتور...... دوخوابه ....
روشنایی عالی ..... جهت جنوبی .....نورگیری از دو طرف.
پذیرایی بزرگ ... دربها ضد سرقت....پنجره ها دوجداره.
هر طبقه تک واحدی..... طبقه اول ....",,,
اپارتمان بهارستان گلشهر,۳ روز پیش در تبریز | اجاره آپارتمان,۹۵,۱۴۰۰,۲,آسانسور,پارکینگ,انباری ندارد,۱۵۰٬۰۰۰٬۰۰۰ تومان,۸٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۳ از ۴,کوی بهارستان گلشهر با نگهبانی ۲۴ ساعته,,,
آپارتمان تمام رهن ابوریحان,۳ روز پیش در تبریز | اجاره آپارتمان,۹۲,۱۳۷۲,۱,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۱۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده و مجرد,مشاور املاک,۴,"آپارتمان تمام رهن چهارراه ابوریحان ساختمانهای آبادانی مسکن
غیر قابل تبدیل
پارک راحت خودرو در محوطه جلو ساختمان 
از طرف مشاور املاک امین",,,
آپارتمان ۸۰متر آبرسان کلانترکوچه,۳ روز پیش در تبریز | اجاره آپارتمان,۸۰,۱۳۸۰,۱,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۱۹۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده و مجرد,مشاور املاک,۱,"طبقه اول
آماده تحویل
بر کلانترکوچه
گرمایش آبگرمکن",,,
رهن و اجاره ۱۴۰ متر ولیعصر جنوبی خ امیر کبیر,۳ روز پیش در تبریز | اجاره آپارتمان,۱۳۹,۱۳۹۰,۳,آسانسور,پارکینگ,انباری ندارد,۳۰۰٬۰۰۰٬۰۰۰ تومان,۵٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,مشاور املاک,۳,"♂️به نام یگانه خالق هستی بخش♂️
 ✔ طبقه سوم
✔موقعیت : جنوبی 
✅ فول نصبیات
✅کف پارکت
✔ پارکینگ ؛ آسانسور 
✔۳ خواب 
✔ تحویل ۴۵ روز دیگر
__________________________

⚜⚜ املاک ولیعصر ⚜⚜

♂️ آدرس املاک : ولیعصر جنوبی __ بلوار استاد معین __خیابان امیرکبیر

✍ پاسخگوی تماس شما : طهماسبی

0914 458 3303 
0914 458 3303 
_______________________
((اگر مالک هستید و قصد دارین ملک خود را به رهن / اجاره / فروش / و یا مشارکت در ساخت واگذار کنید در املاک ولیعصر صمیمانه منتظر تماس شما ؛ جهت ثبت سفارش ملک شما هستیم))",,,
رهن واجاره 180متر ولیعصر جنوبی خ امیرکبیر,۳ روز پیش در تبریز | اجاره آپارتمان,۱۸۰,۱۳۹۳,۳,آسانسور,پارکینگ,انباری ندارد,۶۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,مشاور املاک,۵,"⚜ بنام یگانه خالق هستی بخش⚜
✅ طبقه ۵
✔ موقعیت: جنوبی
✅کف پارکت 
✔نصبیات کامل 
✅ سه خواب 
✔پارکینگ و آسانسور
✅ آماده تحویل
_______________________
♀️♀️ املاک ولیعصر♀️♀️

⬅️ آدرس املاک : ولیعصر جنوبی __ بلوار استاد معین __خیابان امیر 
✍ پاسخگوی تماس شما : طهماسبی
0914 458 3303 
0914 458 3303 
__________ _______________________
((اگر مالک هستین و قصد دارین ملک خود را به رهن واجاره/ فروش ویا مشارکت در ساخت واگذار کنین صمیمانه منتظر تماس شما جهت ثبت سفارش ملک شما در املاک ولیعصر هستیم))
__________________________",,,
آپارتمان 73 متر. با 15 متر حیاط بر خیابان,۳ روز پیش در تبریز | اجاره آپارتمان,۷۳,۱۳۸۰,۱,آسانسور ندارد,پارکینگ ندارد,انباری,۸۵٬۰۰۰٬۰۰۰ تومان,۳٬۵۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,همکف از ۳,"واحد فوق یک سال بازسازی شده
کلا سه طبقه هست طبقه همکف 
انشعابات برق و تلفن جدا. گاز و آب مشترک
کف سرامیک
دارای نور مخفی
دیوار های رنگ شده طرح دار 
مناسب برای زوج های جوان",,,
۱۲۰ متر اپارتمان در ولیعصر,۴ روز پیش در تبریز | اجاره آپارتمان,۱۲۰,۱۳۹۱,۲,آسانسور,پارکینگ,انباری ندارد,۱۰۰٬۰۰۰٬۰۰۰ تومان,۸٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,مشاور املاک,۲ از ۶,"۱۲۰ متر اپارتمان ولیعصر 
کمد کابینت ام دی اف 
گاز رو میزی 
کاغذ دیواری تر و تمیز 
ود در بعثت ولیعصر نیز چند مورد تمام رهن ۳۰۰و ۳۵۰ تومن تمام رهن وچند مورد دیگر ۵۰۰ رهن ۱ تومن اجاره و ۴۰۰ رهن ۳ اجاره و ۱۰۰ رهن ۱۰ اجاره و ... 
مالکین محترم رهن واجاره ملک خود را به ما بسپارید 
آدرس املاک :ولیعصر پارک پروین اعتصامی ۲۰ متری اعتصامی شمالی نبش ۶ متری ۵ املاک مهر ولیعصر 
با احترام ام محاسنی .",,,
حیاط شمالی,۴ روز پیش در تبریز | اجاره خانه و ویلا,۱۱۰,۱۳۷۵,۲,,پارکینگ ندارد,انباری,۵۰٬۰۰۰٬۰۰۰ تومان,۳٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,,دوطبقه طبقه زیرزمین نورگیری عالی، آب برق گاز مشترک بازسازی شده،، خیابان لاله، شهرک باکری، هشت متری رستمی، پلاک 44,بالکن ندارد,۲۰۰,
آپارتمان تک واحدی شهرک نور,۴ روز پیش در تبریز، فلکه بزرگ شهرک نور (خیابان نور غربی) | اجاره آپارتمان,۸۷,۱۳۹۰,۱,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۱۰۰٬۰۰۰٬۰۰۰ تومان,۲٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده و مجرد,مشاور املاک,۲ از ۳,شهرک نور شمالی روبروی مسجد امیرالمومنین,,,
آپارتمان همکف۹۵ متری درعباسی بهشتی,۴ روز پیش در تبریز | اجاره آپارتمان,۹۵,۱۴۰۰,۲,آسانسور,پارکینگ ندارد,انباری,۱۲۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,شخصی,همکف,آپارتمان ۹۵ متری همکف دوخوابه دارای حیاط انباری کمد کابینت تکمیل برخیابان اصلی واقع درعباسی کوی بهشتی بیست متری اول,,,
آپارتمان 75 متری,۴ روز پیش در تبریز | اجاره آپارتمان,۸۰,۱۳۹۱,۱,آسانسور ندارد,پارکینگ ندارد,انباری,۱۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,مشاور املاک,همکف,واحد 75 متری همکف تمام رهن کامل آخر فیضه غربی رو بروی مدرسه فرهمند 100 میلیون تما رهنی 09143137943 باتشکر از دیوار,,,
آپارتمان شیک و تمیز آخر شهناز کوی دانش,۴ روز پیش در تبریز، بلوار آزادی (خیابان کمربندی) | اجاره آپارتمان,۷۵,۱۳۹۵,۱,آسانسور,پارکینگ,انباری ندارد,۳۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,۳ از ۵,"آپارتمان لوکس و دنج با همسایگان بافرهنگ 
در منطقه آرام با نگهبان ۲۴ ساعته در ورودی کوی، با امنیت کامل (کل کوی دارای دوربین مداربسته) 
طبقه سوم از ساختمان پنج طبقه
دارای پکیچ روشن، پارکینگ، نورمخفی، کابینت های های گلاس، کمد دیواری، کاغذ دیواری خارجی و شیک، آیفون تصویری، دو ورودی مجزا به ساختمان از دو سمت، کرکره فلزی شیک و خوش رنگ تمام پنجره ها، نورگیری از دو سمت و ویوی عالی، رو به قبله و غرق در نور و دارای بالکن اختصاصی و حیاط و لابی مشاعی پر از گل و سبزه طبق تصاویر.
به خانواده کم جمعیت یا زوج های جوان و کم حاشیه و آشنا به فرهنگ آپارتمان نشینی و رعایت کننده حقوق همسایگان اجاره داده میشود.
واحد خالی و آماده تحویل میباشد.
ساعات تماس از ۸ صب تا ۸ شب.",,,
آپارتمان 110 متری زعفرانیه رهن,۴ روز پیش در تبریز | اجاره آپارتمان,۱۱۰,۱۳۹۱,۲,آسانسور,پارکینگ,انباری,۴۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۴ از ۴,"آپارتمان 110 متری زعفرانیه رهن
شمالی دل باز هر دو اتاق دارای روشنایی
دارای حیاط خلوت 
کوچه بدون شیب",,,
رهن کامل آپارتمان٩٠متری طبقه۶قهوه آقاجان,۴ روز پیش در تبریز، خیابان شمس تبریزی | اجاره آپارتمان,۹۰,۱۴۰۰,۲,آسانسور,پارکینگ ندارد,انباری,۱۸۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,,۶ از ۶,"رهن آپارتمان
لطفا و خواهشا فقط با شماره های زیر تماس بگیرید
٠٩١۴٨۴۵۴٧۴۴
٠۴١٣۵٢۴۶۵٧١ 
⏪مناسب خانواده لطفا مجرد و افراد دارای عقد غیر دایم تماس نگیرند
⏪٩٠ متر
⏪طبقه ۶
⏪آسانسور دارد
⏪پارکینگ ندارد
⏪بالکن دارد
⏪کمدکابینت دارد
⏪گرمایش آبگرمکن و بخاری
⏪همسایگان عالی
⏪دسترسی عالی به خیابان
⏪دسترسی عالی و فوری به خیابان اصلی
⏪نوساز و تمیز
جهت دریافت سایر موارد ملکی به شماره زیر پیامک ارسال فرمایید
٠٩٠۵۵۴٧٨٧٢٧
قدرت ما تخصص ماست(مسکن شمس)

ثبت قراردادهای املاک زیر نظر کارشناس حقوقی شهرداری*

*توکن از شما ثبت از بنده در محل شما 200هزار تومان*
*توکن از شما ثبت از بنده در محل دفترم 150هزار تومان*

*توکن و ثبت از ما هزینه توافقی*

*ثبت قانونی معامله زیر نظر مشاور حقوقی باعث میشود شما اسیر پله های دادگاه نشوید
*09148454744*
*☎️04135246571*",,,
خانه دربست یک طبقه,۴ روز پیش در تبریز | اجاره خانه و ویلا,۱۵۰,۱۳۸۰,۱,,پارکینگ,انباری ندارد,۱۵۰٬۰۰۰٬۰۰۰ تومان,۱٬۵۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,مشاور املاک,,"یک خانه دربست دونبش 
دارای حیاط ماشین داخل حیاط می‌رود
کابینت کمددیواری 
امتیازات جدا 
نورگیری فوق العاده 
از دوطرف ورودی
یک طبقه 
تبریز چهارراه عباسی خیابان شهید رجایی(یوسف آباد سابق) ۲۴ متری شهید شفیع زاده کوی معلم",بالکن,۱۸۰,
رهن کامل آپارتمان در سالاری,۴ روز پیش در تبریز | اجاره آپارتمان,۷۰,۱۳۹۴,۱,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۱۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده و مجرد,شخصی,۳ از ۳,"آپارتمان ۷۰ متری
طبقه سوم
خیابان سالاری، کوچه آقاجان زاده
کف سرامیک
گرمایش پکیج
حمام و دسشویی جدا
جنوبی (نورگیری از دو سمت)
دارای تراس از اتاق خواب
تک واحده
دارای کابینت و کمد دیواری mdf
بدون آسانسور و پارکینگ و انباری",,,
